,Comment,Emotion,Comment_clean
45,id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger,id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september
46,i just feel so fucked up these days,anger,i just feel so fucked up these days
47,i confess that i was feeling nervous as i made my way to the event venue,fear,i confess that i was feeling nervous as i made my way to the event venue
48,i was really worried that i would feel intimidated by monica but when we met that morning she was incredibly welcoming and made me feel relaxed straight away,fear,i was really worried that i would feel intimidated by monica but when we met that morning she was incredibly welcoming and made me feel relaxed straight away
49,i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,joy,i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot
50,i feel like i have been a bit obnoxious in my picture posting,anger,i feel like i have been a bit obnoxious in my picture posting
51,i feel morally outraged and furious more often than i d like,anger,i feel morally outraged and furious more often than i d like
52,i feel pissed my friend didnt offer me a soda,anger,i feel pissed my friend did not offer me a soda
53,i feel our hearts are treading dangerous territory,anger,i feel our hearts are treading dangerous territory
54,i feel frightened by it all,fear,i feel frightened by it all
55,i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger,i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there
56,i feel shafted or greedy,anger,i feel shafted or greedy
57,i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,fear,i have just had such a crappy week that i am still feeling all agitated and like the day was not what i wanted
58,i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger,i feel rebellious because i do not particularly like watching romcoms but i get the feeling that i may be pretty good at writing them
59,i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,fear,i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me
60,i am ashamed when i feel like that the moment i see terrified crying children and dead ones,fear,i am ashamed when i feel like that the moment i see terrified crying children and dead ones
61,i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,joy,i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper
62,ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,joy,i have always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest
63,i feel a bit pissed off because we went first,anger,i feel a bit pissed off because we went first
64,i feel satisfied knowing the dirt and hair is no longer in the car and house,joy,i feel satisfied knowing the dirt and hair is no longer in the car and house
65,i really like how the special edition really does feel special with songs on it,joy,i really like how the special edition really does feel special with songs on it
66,i would accept your gift without feeling mad,anger,i would accept your gift without feeling mad
67,i feel hesitant to do it since i don t have any experience with programming and all,fear,i feel hesitant to do it since i do not have any experience with programming and all
68,i was feeling particularly bitchy and i dont think i adequately expressed my appreciation for that,anger,i was feeling particularly bitchy and i do not think i adequately expressed my appreciation for that
69,i do feel confused,fear,i do feel confused
70,im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,anger,i am with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair
71,i didn t feel rushed to finish millions of things and i was able to focus on each task separately,anger,i did not feel rushed to finish millions of things and i was able to focus on each task separately
72,i feel so tortured,anger,i feel so tortured
73,i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,joy,i do not know how it feels to be completely happy the real world has taught me about struggle but what i am going thru is nothing close to struggle
74,i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me,joy,i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me
75,i fear that other people ask me about my feelings i am most reluctant to talk about things,fear,i fear that other people ask me about my feelings i am most reluctant to talk about things
76,i would have smiled except i was starting to feel like any more uptight comments and my jaw would fall right out of my head,fear,i would have smiled except i was starting to feel like any more uptight comments and my jaw would fall right out of my head
77,i feel so comfortable around him,joy,i feel so comfortable around him
78,i feel completely unsure of any boundaries or normalcy,fear,i feel completely unsure of any boundaries or normalcy
79,i think of or feel gratitude i think of my kind and gracious heavenly father,joy,i think of or feel gratitude i think of my kind and gracious heavenly father
80,im feeling really really left out and somewhat dissatisfied with everything,anger,i am feeling really really left out and somewhat dissatisfied with everything
81,i simply said how sorry i am and just got out from her car and got into my house feeling restless,fear,i simply said how sorry i am and just got out from her car and got into my house feeling restless
82,i am feeling weird and feel wanna know,fear,i am feeling weird and feel want to know
83,i had an incredible feeling of frantic despair,fear,i had an incredible feeling of frantic despair
84,i feel reluctant to sell but hey,fear,i feel reluctant to sell but hey
85,i take a long sip and feel the cold sensation of the iced capp,anger,i take a long sip and feel the cold sensation of the iced capp
86,i wasn t feeling pressured even if this was the longest race and the one i expected the most from,fear,i was not feeling pressured even if this was the longest race and the one i expected the most from
87,i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger,i also hope you understand why i feel so angry with you when you do not support the hat rule or when you turn up at a school event sans hat yourself
88,i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,fear,i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but i have never thought it accounted to trauma
89,i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more,fear,i had for me to confess my feelings for her but still i could not bring myself to her for i was scared of losing her once more
90,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger,i am clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet
91,i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger,i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended
92,im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,joy,i am not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with
93,the possibility of having failed the examination,fear,the possibility of having failed the examination
94,i feel so thankful to be in a part of the country where i can train outdoors this late in the year and not have to bundle up or wear several layers,joy,i feel so thankful to be in a part of the country where i can train outdoors this late in the year and not have to bundle up or wear several layers
95,i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,anger,i am feeling rather grouchy too this morning since i did not sleep last night on purpose
96,i feel like the earthquake has also shaken the foundations of my life and work,fear,i feel like the earthquake has also shaken the foundations of my life and work
97,i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,anger,i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night
98,i woke up feeling positive i was totally in the mood for doing this and this evening i feel the same i had a banana shake for breakfast a chocolate shake for dinner and a sunday roast for tea,joy,i woke up feeling positive i was totally in the mood for doing this and this evening i feel the same i had a banana shake for breakfast a chocolate shake for dinner and a sunday roast for tea
99,i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,fear,i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings
100,i feel so bitchy and mean and terrible,anger,i feel so bitchy and mean and terrible
101,i feel envious that they can keep their posts regular and interesting and wish that i could feel this way to,anger,i feel envious that they can keep their posts regular and interesting and wish that i could feel this way to
102,i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain,joy,i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain
103,i feel assaulted the new kid whined,fear,i feel assaulted the new kid whined
104,ive had a long road of that initially feeling like i was being rude for turning down food that was made brought for me and sometimes eating stuff because it was gluten free and looked delicious even if it maybe wasnt what i felt good about eating some really mediocre wedding cake for example,anger,i have had a long road of that initially feeling like i was being rude for turning down food that was made brought for me and sometimes eating stuff because it was gluten free and looked delicious even if it maybe was not what i felt good about eating some really mediocre wedding cake for example
105,i wanted to make sure i didnt feel rushed getting to century college on friday afternoon,anger,i wanted to make sure i did not feel rushed getting to century college on friday afternoon
106,id kick myself into gear but i just feel irritable with no motivation what so ever,anger,id kick myself into gear but i just feel irritable with no motivation what so ever
107,i feel so much more productive at college and so to keep that productivity in full gear ill have to chalk up some ideas for art projects this summer train an army of attack pigeons and take over a tiny and uninhabited island,joy,i feel so much more productive at college and so to keep that productivity in full gear ill have to chalk up some ideas for art projects this summer train an army of attack pigeons and take over a tiny and uninhabited island
108,i have a feeling that your father already convinced him of that,joy,i have a feeling that your father already convinced him of that
109,i feel im not bothered by that,anger,i feel i am not bothered by that
110,i p i could sit here and beat myself up over it all but im feeling far to rebellious for that today basically im feeling angry at the world and at myself all at the same time,anger,i p i could sit here and beat myself up over it all but i am feeling far to rebellious for that today basically i am feeling angry at the world and at myself all at the same time
111,im totally feeling bitchy and resentful about it,anger,i am totally feeling bitchy and resentful about it
112,i drove to class i was feeling a little apprehensive but still no sweat,fear,i drove to i was feeling a little apprehensive but still no sweat
113,i feel so wronged but what can i do,anger,i feel so wronged but what can i do
114,i feel so weird that it feels like i wanna curse everything and bang my head onto the wall so that my world will be back to its focus,fear,i feel so weird that it feels like i want to curse everything and bang my head onto the wall so that my world will be back to its focus
115,i feel suspicious of wrinkle prevention beauty products for some reason,fear,i feel suspicious of wrinkle prevention beauty products for some reason
116,i feel you see frantic and thus i am afraid,fear,i feel you see frantic and thus i am afraid
117,i am feeling so grumpy today,anger,i am feeling so grumpy today
118,i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day,joy,i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day
119,i cant help but feel suspicious of everything,fear,i cant help but feel suspicious of everything
120,i say we because it makes all the difference as a parent when you have an open and easy to talk to teacher who you really feel is the perfect fit for your child,joy,i say we because it makes all the difference as a parent when you have an open and easy to talk to teacher who you really feel is the perfect fit for your child
121,i feel a little bit frightened of islam,fear,i feel a little bit frightened of islam
122,im with her i feel terrific,joy,i am with her i feel terrific
123,i feel like this insecurity is a good thing when i first started writing i pictured it all,joy,i feel like this insecurity is a good thing when i first started writing i pictured it all
124,i even had a deep feeling for alaska and the cold and snowy and yet big open land with the pine trees and mountains but im destined to live in southern california,anger,i even had a deep feeling for alaska and the cold and snowy and yet big open land with the pine trees and mountains but i am destined to live in southern california
125,i didn t feel like she was shy so much as taking it all in as her mother has described her,fear,i did not feel like she was shy so much as taking it all in as her mother has described her
126,i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,fear,i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they do not even really try
127,im feeling cranky cantankerous and resentful like a house slave basically almost all the mothers i know rely heavily on either alcohol marijuana or separation divorce to get some space and sanity for themselves away from their maternal responsibilities,anger,i am feeling cranky cantankerous and resentful like a house slave basically almost all the mothers i know rely heavily on either alcohol marijuana or separation divorce to get some space and sanity for themselves away from their maternal responsibilities
128,i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger,i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy
129,im not convinced that it all makes since because the talking never feels sincere in its execution and maybe the themes in life seem to large to ever fathom but what s the point when it already feels like an emotionless pit of self craving attention,joy,i am not convinced that it all makes since because the talking never feels sincere in its execution and maybe the themes in life seem to large to ever fathom but what s the point when it already feels like an emotionless pit of self craving attention
130,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town
131,i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself,fear,i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself
132,i shut the door but i didn t feel triumphant,joy,i shut the door but i did not feel triumphant
133,i could even feel his cold breath on my neck whispered hertha as she ran her fingers across the side of neck,anger,i could even feel his cold breath on my neck whispered hertha as she ran her fingers across the side of neck
134,i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them,anger,i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them
135,i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,anger,i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you do not think there is a difference
136,i feel like im back in my element and very pleased to be surrounded by adorable tiny garments,joy,i feel like i am back in my element and very pleased to be surrounded by adorable tiny garments
137,i know you feel tortured reading this,anger,i know you feel tortured reading this
138,i have a feeling hell be a casual favorite if blue or red are heavy colors at your casual tables otherwise i could see it in tournament decks while red is popular and possibly when if blue steps in its place one zendikar block rotates out,joy,i have a feeling hell be a casual favorite if blue or red are heavy colors at your casual tables otherwise i could see it in tournament decks while red is popular and possibly when if blue steps in its place one zendikar block rotates out
139,i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover,anger,i think this is a valid complaint for those who are not willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover
140,i feel like it must be a popular choice to have alterations done elsewhere,joy,i feel like it must be a popular choice to have alterations done elsewhere
141,i feel bothered,anger,i feel bothered
142,i have noticed that if i go with out i start to feel irritated at him or easily annoyed by the things he does i feel this tiny ache inside of me almost unnoticeable the first few days as if a tiny hair had burrowed its way into my foot,anger,i have noticed that if i go with out i start to feel irritated at him or easily annoyed by the things he does i feel this tiny ache inside of me almost unnoticeable the first few days as if a tiny hair had burrowed its way into my foot
143,i said without emotion while feeling a freaked out fearful anxiety welling up in my chest,fear,i said without emotion while feeling a freaked out fearful anxiety welling up in my chest
144,i understand that any of my extremely positive attributes and there are some are overshadowed by my weakness and subconsciously some people are wired up to feel superior to others and thereby treat them differently,joy,i understand that any of my extremely positive attributes and there are some are overshadowed by my weakness and subconsciously some people are wired up to feel superior to others and thereby treat them differently
145,i find it very hard to feel relaxed for more than hours,joy,i find it very hard to feel relaxed for more than hours
146,i am just feeling grumpy and sore,anger,i am just feeling grumpy and sore
147,i just make assumptions based on what i see think feel i ve wondered this before with strange things,fear,i just make assumptions based on what i see think feel i have wondered this before with strange things
148,i feel your motivation will be satisfied when you read this write up also who understands,joy,i feel your motivation will be satisfied when you read this write up also who understands
149,i walk in the door to my house i feel happy,joy,i walk in the door to my house i feel happy
150,i feel more terrified than the customers will be in my maze,fear,i feel more terrified than the customers will be in my maze
151,i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is,fear,i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is
152,i have been neglecting the feeling of people around me i was stubborn,anger,i have been neglecting the feeling of people around me i was stubborn
153,i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,joy,i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod
154,i didn t feel as terrified or as nervous as i normally would in that type of situation,fear,i did not feel as terrified or as nervous as i normally would in that of situation
155,i typically respond when i feel offended,anger,i typically respond when i feel offended
156,i am wearing and feeling confident about myself,joy,i am wearing and feeling confident about myself
157,i feel like i am as fearful now as i was when i first threw my leg over the top tube after my surgery,fear,i feel like i am as fearful now as i was when i first threw my leg over the top tube after my surgery
158,i feel unprotected if i do though,fear,i feel unprotected if i do though
159,im feeling artistic today,joy,i am feeling artistic today
160,i confess to feeling a bit nervous now though there are some very talented people in the group,fear,i confess to feeling a bit nervous now though there are some very talented people in the group
161,i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,fear,i managed to eat more than i usually can on race morning mostly because jon was there and i did not feel quite as nervous
162,i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,anger,i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them
163,i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own,fear,i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own
164,i feel my strengths are that i m very determined motivated in the workout room,joy,i feel my strengths are that i am very determined motivated in the workout room
165,im feeling doubtful about my writing dreams to know shes behind me,fear,i am feeling doubtful about my writing dreams to know shes behind me
166,i feel so enraged that i want to punch him but i don t because he s only years old,anger,i feel so enraged that i want to punch him but i do not because he s only years old
167,i get into what it actually does i feel like everyone should buy it just because it smells amazing,joy,i get into what it actually does i feel like everyone should buy it just because it smells amazing
168,i think the sooner we do the better well all feel greg im already in a distressed mood mom,fear,i think the sooner we do the better well all feel greg i am already in a distressed mood mom
169,im so excited but feeling kind of shy about it smile,fear,i am so excited but feeling kind of shy about it smile
170,i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,fear,i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid
171,i feel like im back to the arms of a beloved last seen a long time ago,joy,i feel like i am back to the arms of a beloved last seen a long time ago
172,i feel satisfied and happy with my choices today,joy,i feel satisfied and happy with my choices today
173,i walked away feeling inspired and excited about realistic things i could do to increase my blog s chances for being found,joy,i walked away feeling inspired and excited about realistic things i could do to increase my blog s chances for being found
174,i feeling confused with my life and want to know why my life,fear,i feeling confused with my life and want to know why my life
175,i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger,i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish
176,i was feeling and i said impatient,anger,i was feeling and i said impatient
177,i feel very reluctant to blog during my free period even when my hp is plugged to my laptop for charging making it easy to upload photos online,fear,i feel very reluctant to blog during my free period even when my hp is plugged to my laptop for charging making it easy to upload photos online
178,i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,fear,i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed
179,i got a stitch in my side during the first mile couldnt feel my feet it was so cold etc etc,anger,i got a stitch in my side during the first mile could not feel my feet it was so cold etc etc
180,i feel uncomfortable when i need to sit through a bad presentations,fear,i feel uncomfortable when i need to sit through a bad presentations
181,i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way,anger,i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way
182,ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,joy,i have collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity
183,i feel as though i fucked up so majorly this summer that im cast off into an alternate universe that i went the wrong way on a timeline and im stuck in a world that the same as the one i knew in all but one way,anger,i feel as though i fucked up so majorly this summer that i am cast off into an universe that i went the wrong way on a timeline and i am stuck in a world that the same as the one i knew in all but one way
184,i friends helping them to dress up and practise their thai introduction session while i sat there feeling helpless,fear,i friends helping them to dress up and practise their thai introduction session while i sat there feeling helpless
185,i feel helpless because i cannot stop it,fear,i feel helpless because i cannot stop it
186,im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,anger,i am feeling disgusted already but seriously though i do not really like to have my pictures taken because i have always referred to myself as ugly
187,i do feel very angered though,anger,i do feel very angered though
188,i am feeling very virtuous today,joy,i am feeling very virtuous today
189,i just feel so good inside when i see people walking away with their own handmade pieces of,joy,i just feel so good inside when i see people walking away with their own handmade pieces of
190,i went to see my pcm on post for a follow up appointment and i left feeling hopeful and optimistic,joy,i went to see my pcm on post for a follow up appointment and i left feeling hopeful and optimistic
191,i wish that the girl he asked to prom had accepted his invitation that way i couldve been heartbroken and done with my feeling for him but now im just so indecisive,fear,i wish that the girl he asked to prom had accepted his invitation that way i couldve been heartbroken and done with my feeling for him but now i am just so indecisive
192,im still feeling all wimpy it may be another skip around,fear,i am still feeling all wimpy it may be another skip around
193,i didnt feel safe in my room because the argument was going on in my room and things were getting rough,joy,i did not feel safe in my room because the argument was going on in my room and things were getting rough
194,im not feeling pissed off about picking up those toys,anger,i am not feeling pissed off about picking up those toys
195,im feeling so goddamn pissed and just,anger,i am feeling so goddamn pissed and just
196,i hopped on the scale this morning feeling none too optimistic,joy,i hopped on the scale this morning feeling none too optimistic
197,i appreciate the award i feel there are so many wonderful blogs out there that we are all winners,joy,i appreciate the award i feel there are so many wonderful blogs out there that we are all winners
198,i want to not feel shy with them i want to have fun with them,fear,i want to not feel shy with them i want to have fun with them
199,i should have left this movie feeling frightened or at the very least convinced that this number held some kind of mystical power or was the key to some government conspiracy but no,fear,i should have left this movie feeling frightened or at the very least convinced that this number held some kind of mystical power or was the key to some government conspiracy but no
200,i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,anger,i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path
201,i am feeling extremely pleased with myself and i decide to give the guy another rupees,joy,i am feeling extremely pleased with myself and i decide to give the guy another rupees
202,i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,anger,i feel tortured every moment and there is nowhere i can go to get away from it or to get back to what i was used to
203,im feeling brave this would be nice with black tips,joy,i am feeling brave this would be nice with black tips
204,i know who all think this way so i ve always feel skeptical about painting my nails red since i also have light skin so the red is really going to stand out is there a cute way for a year old to wear red nails without looking like she s trying too hard or looking like a hooker,fear,i know who all think this way so i have always feel skeptical about painting my nails red since i also have light skin so the red is really going to stand out is there a cute way for a year old to wear red nails without looking like she s trying too hard or looking like a hooker
205,in ward a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him,anger,in ward a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him
206,i have grown accustomed to the creative freedom of living by myself i can dance around my house and write songs and play guitar without feeling inhibited by the eyes and ears of others,fear,i have grown accustomed to the creative freedom of living by myself i can dance around my house and write songs and play guitar without feeling inhibited by the eyes and ears of others
207,i is an extremely positive feeling a divine energy who alone can take our quaking boat to the shore,joy,i is an extremely positive feeling a divine energy who alone can take our quaking boat to the shore
208,i feel in the long run this hurts paulie as you could visibly see how distraught he was with the result and the perception of his performance,fear,i feel in the long run this hurts paulie as you could visibly see how distraught he was with the result and the perception of his performance
